北京,17454,1732,14225,1498,22.7,12.2,10.5
天津,12150,1359,9399,1392,29.3,14.5,14.8
河北,60517,10772,44198,5547,36.9,24.4,12.6
山西,29957,4710,22860,2388,31.1,20.6,10.5
内蒙古,20613,2831,16020,1762,28.7,17.7,11
辽宁,36231,3774,28756,3701,26,13.1,12.9
吉林,22707,2669,17844,2193,27.3,15,12.3
黑龙江,31651,3792,25029,2830,26.5,15.2,11.3
上海,19932,1866,15945,2121,25,11.7,13.3
江苏,65526,8733,48762,8030,34.4,17.9,16.5
浙江,45376,5417,35785,4174,26.8,15.1,11.7
安徽,49765,9186,35337,5241,40.8,26,14.8
福建,31148,5249,23355,2543,33.4,22.5,10.9
江西,37321,7353,26608,3360,40.3,27.6,12.6
山东,80331,12432,59077,8822,36,21,14.9
河南,77688,16133,54620,6935,42.2,29.5,12.7
湖北,47860,7153,35966,4741,33.1,19.9,13.2
湖南,55219,10088,39294,5837,40.5,25.7,14.9
广东,87847,14653,66830,6364,31.5,21.9,9.5
广西,38947,8361,26966,3620,44.4,31,13.4
海南,7389,1385,5402,602,36.8,25.6,11.2
重庆,24512,3824,17440,3247,40.6,21.9,18.6
四川,66904,11073,47295,8536,41.5,23.4,18.1
贵州,28905,6385,19838,2682,45.7,32.2,13.5
云南,38680,7745,27835,3099,39,27.8,11.1
西藏,2575,599,1843,133,39.7,32.5,7.2
陕西,31063,4685,23324,3053,33.2,20.1,13.1
甘肃,21311,3603,15813,1895,34.8,22.8,12
青海,4769,948,3479,341,37.1,27.2,9.8
宁夏,5399,1093,3924,382,37.6,27.9,9.7
新疆,18688,3893,13605,1190,37.4,28.6,8.8
