北京,18132,1973,14031,2129,29.2,14.1,15.2
天津,13046,1421,10142,1482,28.6,14,14.6
河北,62750,11584,44321,6845,41.6,26.1,15.4
山西,30910,4747,23475,2688,31.7,20.2,11.5
内蒙古,21136,2705,16436,1995,28.6,16.5,12.1
辽宁,36668,3900,27919,4849,31.3,14,17.4
吉林,22945,2903,17552,2490,30.7,16.5,14.2
黑龙江,31874,3204,24865,3805,28.2,12.9,15.3
上海,20188,1953,15618,2617,29.3,12.5,16.8
江苏,66998,9199,48750,9048,37.4,18.9,18.6
浙江,46831,6063,35319,5449,32.6,17.2,15.4
安徽,52056,9128,36958,5969,40.9,24.7,16.2
福建,32474,5940,23303,3231,39.4,25.5,13.9
江西,38576,8187,26687,3702,44.6,30.7,13.9
山东,83464,14140,59599,9725,40,23.7,16.3
河南,80140,16659,55405,8075,44.6,30.1,14.6
湖北,49384,7645,36023,5716,37.1,21.2,15.9
湖南,57310,10431,40065,6814,43,26,17
广东,92107,15417,69603,7086,32.3,22.2,10.2
广西,40677,8686,28048,3943,45,31,14.1
海南,7698,1520,5543,635,38.9,27.4,11.5
重庆,25560,3949,18041,3570,41.7,21.9,19.8
四川,69457,11086,48858,9513,42.2,22.7,19.5
贵州,29915,6663,20373,2879,46.8,32.7,14.1
云南,40141,7839,28939,3362,38.7,27.1,11.6
西藏,2789,671,1980,139,40.9,33.9,7
陕西,32014,4750,23826,3439,34.4,19.9,14.4
甘肃,21960,3725,16049,2186,36.8,23.2,13.6
青海,4987,983,3643,360,36.9,27,9.9
宁夏,5666,1085,4140,441,36.9,26.2,10.7
新疆,20165,4541,14165,1458,42.4,32.1,10.3
