华北,16849,16890,16933,16934,16925,16956,16963,16931,16900,16813
东北,9644,9729,9825,9980,10102,10237,10357,10480,10608,10699
华东,42573,42521,42383,42176,41964,41725,41438,41104,40868,40519
中南,41051,41076,40986,40934,40693,40386,40010,39600,39267,38892
西南,20500,20492,20526,20462,20363,20278,20136,19967,19837,19710
西北,10358,10352,10360,10319,10263,10197,10099,10015,9937,9863
